idInvoice,idEvent,aditionalData,amount,amountPaidAferMatchMatch,amountPaidBeforeMatch,amountToPaidAfterMatch,amountToPaidBeforeMatch,amountToPay,eventDate,eventType,hasMatchAfterMatch,hasMatchBeforeMatch,idTransaction,matchMethod,needReviewAfterMatch,needReviewBeforeMatch,paymentethod,result,stateAfterMatch,stateBeforeMatch
A6FA04584E2B4A2B97891267FECD61FC,53916215-64df-4519-9a4b-931616867519,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69419E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,5a9e3a86-9e5d-42f3-b29d-5aa933a24792,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69419E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,5ead5b0f-9fe0-4b1d-ae21-195931fba924,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,6350596f-831c-44e5-aff9-5031a21b0420,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,64649152-af26-4830-a843-f96d5c6dd365,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69462E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,7e61756a-a503-4cc7-850e-1b434960dc1c,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69334E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,83cfb62f-22ea-42d2-9de9-61fd49a655a2,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69328E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,859c5de6-63c6-482d-a4a8-d3ad7d478f37,{},198352.95,198352.95,0,0,198352.95,198352.95,1.69328E+12,LINK#GRAPH#PAYMENT,true,false,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,SUCCESS,PAGADA,PENDIENTE
A6FA04584E2B4A2B97891267FECD61FC,98b66404-b3e9-4b49-a120-bd014948cce7,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69335E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
A6FA04584E2B4A2B97891267FECD61FC,c2d2e62f-ab27-4cf4-aad8-f80ee61c3a45,{},198352.95,198352.95,198352.95,0,0,198352.95,1.69447E+12,LINK#GRAPH#PAYMENT,true,true,c443bf5848a67463285c7efe27c78265,GRAPH,false,false,PPD,ERROR# El monto a abonar es mayor al saldo pendiente de la factura,PAGADA,PAGADA
